epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,256.317,0.46221,0.33636,0.89601,0.9941,0.97436,0.99394,0.91494,0.48309,0.30866,0.89333,0.0011684,0.0011684,0.0011684
44,261.939,0.43257,0.30361,0.89743,0.97381,0.98718,0.99371,0.90843,0.49644,0.30386,0.88111,0.0011486,0.0011486,0.0011486
45,268.284,0.42178,0.29938,0.88673,1,0.98677,0.9944,0.92007,0.49376,0.30172,0.88857,0.0011288,0.0011288,0.0011288
46,274.29,0.41138,0.31197,0.88974,0.99236,0.98718,0.9944,0.92417,0.50036,0.30051,0.89827,0.001109,0.001109,0.001109
47,279.609,0.41721,0.30256,0.89463,0.98509,0.97436,0.99378,0.91612,0.48025,0.30822,0.89205,0.0010892,0.0010892,0.0010892
48,285.885,0.45036,0.34627,0.91653,0.99238,0.96154,0.99365,0.9192,0.49099,0.30568,0.88227,0.0010694,0.0010694,0.0010694
49,291.022,0.4315,0.30982,0.8923,0.987,0.97359,0.99324,0.90944,0.51133,0.30383,0.89883,0.0010496,0.0010496,0.0010496
50,298.314,0.41034,0.30081,0.90542,0.98579,0.96154,0.99088,0.91845,0.47628,0.30116,0.88574,0.0010298,0.0010298,0.0010298
51,303.206,0.43109,0.30762,0.88878,0.99947,0.96154,0.99127,0.91822,0.45674,0.31038,0.87685,0.00101,0.00101,0.00101
52,309.898,0.42704,0.31888,0.90531,1,0.97357,0.99382,0.92376,0.48077,0.29545,0.89011,0.0009902,0.0009902,0.0009902
53,315.159,0.41761,0.30988,0.88694,0.99823,0.97436,0.99427,0.92095,0.47883,0.29427,0.89271,0.0009704,0.0009704,0.0009704
54,321.548,0.42092,0.31291,0.90255,0.98718,0.98685,0.99462,0.91202,0.48719,0.28558,0.88895,0.0009506,0.0009506,0.0009506
55,326.32,0.41506,0.31385,0.89182,0.98593,1,0.99475,0.91692,0.47231,0.28484,0.88395,0.0009308,0.0009308,0.0009308
